iter	Passed	Remaining
0	140	140197
1	141	70450
2	141	47176
3	142	35559
4	143	28581
5	144	23908
6	144	20560
7	145	18061
8	146	16111
9	146	14552
10	147	13289
11	148	12240
12	149	11348
13	150	10587
14	151	9916
15	151	9327
16	152	8808
17	153	8363
18	154	7956
19	154	7588
20	155	7257
21	156	6950
22	157	6670
23	157	6414
24	158	6177
25	159	5959
26	159	5758
27	160	5570
28	161	5395
29	161	5232
30	162	5079
31	163	4942
32	164	4812
33	165	4689
34	165	4572
35	166	4458
36	167	4356
37	168	4254
38	168	4157
39	169	4065
40	170	3977
41	170	3893
42	171	3813
43	172	3737
44	172	3663
45	173	3594
46	173	3527
47	174	3463
48	175	3403
49	176	3344
50	176	3287
51	177	3233
52	178	3181
53	178	3133
54	179	3089
55	180	3044
56	181	3001
57	182	2960
58	183	2919
59	183	2878
60	184	2838
61	185	2799
62	185	2762
63	186	2725
64	187	2693
65	187	2659
66	188	2625
67	189	2593
68	189	2561
69	190	2529
70	191	2500
71	191	2471
72	192	2443
73	193	2416
74	193	2391
75	194	2365
76	195	2339
77	195	2316
78	196	2292
79	197	2268
80	197	2245
81	198	2222
82	199	2201
83	199	2179
84	200	2158
85	201	2138
86	201	2119
87	202	2099
88	203	2080
89	203	2062
90	204	2044
91	205	2025
92	205	2008
93	206	1991
94	207	1976
95	208	1960
96	208	1944
97	209	1929
98	210	1915
99	211	1900
100	211	1885
101	212	1870
102	213	1856
103	213	1842
104	214	1828
105	215	1814
106	215	1801
107	216	1789
108	217	1776
109	217	1763
110	218	1750
111	219	1738
112	220	1726
113	220	1715
114	221	1703
115	222	1692
116	222	1681
117	223	1670
118	224	1661
119	225	1652
120	226	1642
121	226	1632
122	227	1623
123	228	1613
124	229	1603
125	229	1593
126	230	1583
127	230	1573
128	231	1564
129	232	1555
130	233	1545
131	233	1536
132	234	1527
133	235	1519
134	235	1510
135	236	1500
136	236	1492
137	237	1483
138	238	1476
139	239	1469
140	239	1461
141	240	1454
142	241	1446
143	242	1439
144	242	1432
145	243	1425
146	244	1417
147	244	1410
148	245	1403
149	246	1395
150	247	1388
151	247	1381
152	248	1374
153	249	1367
154	249	1361
155	250	1354
156	251	1348
157	251	1341
158	252	1334
159	253	1329
160	253	1322
161	254	1316
162	255	1310
163	255	1304
164	256	1298
165	257	1292
166	257	1286
167	258	1280
168	259	1274
169	259	1268
170	260	1262
171	261	1257
172	261	1251
173	262	1246
174	263	1240
175	263	1235
176	264	1230
177	265	1224
178	265	1219
179	266	1214
180	267	1209
181	267	1204
182	268	1198
183	269	1194
184	270	1189
185	270	1184
186	271	1180
187	272	1175
188	272	1170
189	273	1166
190	274	1161
191	274	1156
192	275	1152
193	276	1147
194	276	1142
195	277	1138
196	278	1133
197	278	1129
198	279	1125
199	280	1120
200	280	1116
201	281	1111
202	282	1107
203	282	1103
204	283	1099
205	284	1095
206	284	1091
207	285	1087
208	286	1083
209	286	1079
210	287	1075
211	288	1071
212	288	1067
213	289	1063
214	290	1059
215	290	1055
216	291	1052
217	292	1048
218	292	1044
219	293	1041
220	294	1037
221	294	1033
222	295	1029
223	296	1026
224	296	1022
225	297	1019
226	298	1015
227	298	1012
228	299	1008
229	300	1005
230	300	1001
231	301	998
232	302	995
233	303	991
234	303	988
235	304	985
236	305	982
237	305	978
238	306	975
239	307	972
240	307	969
241	308	966
242	309	963
243	309	960
244	310	957
245	311	954
246	312	951
247	312	948
248	313	945
249	314	942
250	314	939
251	315	936
252	316	933
253	316	931
254	317	927
255	318	925
256	319	922
257	319	919
258	320	916
259	321	913
260	321	910
261	322	908
262	323	905
263	323	902
264	324	899
265	325	897
266	325	894
267	326	892
268	327	889
269	327	886
270	328	884
271	329	881
272	330	878
273	330	876
274	331	873
275	332	871
276	332	868
277	333	865
278	334	863
279	334	860
280	335	858
281	336	855
282	336	853
283	337	850
284	338	848
285	338	845
286	339	843
287	340	840
288	340	838
289	341	836
290	342	833
291	342	831
292	343	829
293	344	826
294	344	824
295	345	821
296	346	819
297	347	817
298	347	815
299	348	813
300	349	810
301	349	808
302	350	806
303	351	804
304	351	801
305	352	799
306	353	797
307	353	795
308	354	792
309	355	790
310	355	788
311	356	786
312	357	784
313	358	782
314	358	780
315	359	778
316	360	775
317	360	773
318	361	772
319	362	769
320	362	767
321	363	765
322	364	763
323	365	761
324	365	759
325	366	757
326	366	755
327	367	753
328	368	751
329	369	749
330	370	747
331	370	746
332	371	744
333	372	742
334	372	740
335	373	738
336	374	736
337	374	734
338	375	732
339	376	730
340	377	728
341	377	726
342	378	724
343	378	722
344	379	720
345	380	718
346	381	717
347	381	715
348	382	713
349	383	711
350	383	709
351	384	708
352	385	706
353	385	704
354	386	702
355	387	700
356	388	698
357	388	697
358	389	695
359	390	693
360	390	691
361	391	690
362	392	688
363	392	686
364	393	684
365	394	682
366	394	681
367	395	679
368	396	677
369	396	675
370	397	674
371	398	673
372	399	671
373	400	669
374	400	668
375	401	666
376	402	664
377	402	662
378	403	661
379	404	659
380	404	657
381	405	656
382	406	654
383	407	652
384	407	651
385	408	649
386	409	648
387	409	646
388	410	644
389	411	643
390	411	641
391	412	639
392	413	637
393	413	636
394	414	634
395	415	632
396	415	631
397	416	629
398	416	627
399	417	626
400	418	624
401	418	623
402	419	621
403	420	619
404	420	618
405	421	616
406	422	615
407	422	613
408	423	611
409	424	610
410	424	608
411	425	607
412	426	606
413	426	604
414	427	602
415	428	601
416	428	599
417	429	598
418	430	596
419	431	595
420	431	593
421	432	592
422	433	590
423	433	589
424	434	587
425	435	586
426	435	584
427	436	583
428	436	581
429	437	580
430	438	578
431	439	577
432	439	575
433	440	574
434	441	573
435	441	571
436	442	570
437	443	568
438	443	567
439	444	565
440	445	564
441	445	563
442	446	561
443	447	560
444	447	558
445	448	557
446	449	555
447	449	554
448	450	553
449	451	551
450	451	550
451	452	548
452	453	547
453	454	546
454	454	544
455	455	543
456	456	542
457	456	540
458	457	539
459	458	537
460	458	536
