iter	Passed	Remaining
0	220	219915
1	228	114008
2	236	78574
3	239	59514
4	241	48044
5	243	40382
6	246	34923
7	248	30849
8	250	27614
9	252	24993
10	254	22877
11	256	21100
12	258	19589
13	260	18316
14	262	17208
15	263	16227
16	265	15366
17	268	14621
18	269	13936
19	272	13336
20	273	12754
21	275	12235
22	276	11763
23	279	11349
24	281	10965
25	285	10677
26	287	10343
27	289	10057
28	292	9803
29	295	9558
30	298	9343
31	300	9104
32	303	8902
33	306	8695
34	309	8520
35	311	8351
36	313	8156
37	315	7987
38	354	8735
39	356	8554
40	358	8395
41	360	8225
42	362	8060
43	363	7902
44	366	7770
45	367	7625
46	370	7503
47	373	7410
48	375	7297
49	378	7188
50	380	7075
51	381	6963
52	384	6869
53	386	6774
54	388	6676
55	390	6578
56	392	6486
57	393	6393
58	395	6302
59	396	6217
60	399	6148
61	402	6095
62	404	6023
63	406	5945
64	408	5869
65	411	5825
66	413	5764
67	415	5699
68	417	5639
69	420	5580
70	421	5521
71	423	5463
72	426	5410
73	428	5356
74	429	5299
75	432	5252
76	434	5205
77	437	5168
78	439	5120
79	441	5077
80	443	5027
81	444	4977
82	445	4926
83	448	4891
84	450	4854
85	455	4841
86	457	4800
87	459	4758
88	461	4722
89	464	4694
90	467	4673
91	471	4653
92	473	4618
93	475	4584
94	477	4548
95	480	4527
96	482	4492
97	486	4473
98	488	4441
99	493	4438
100	495	4410
101	497	4379
102	499	4350
103	501	4319
104	504	4296
105	506	4270
106	510	4258
107	513	4240
108	516	4223
109	519	4200
110	522	4186
111	527	4179
112	528	4151
113	530	4123
114	534	4114
115	536	4087
116	540	4080
117	544	4068
118	546	4042
119	547	4017
120	549	3992
121	550	3964
122	554	3951
123	558	3945
124	560	3922
125	562	3900
126	563	3875
127	565	3853
128	567	3830
129	570	3814
130	572	3795
131	573	3773
132	575	3750
133	576	3727
134	578	3706
135	580	3684
136	581	3662
137	582	3641
138	585	3625
139	588	3613
140	589	3593
141	590	3570
142	592	3552
143	594	3532
144	595	3513
145	597	3493
146	599	3476
147	601	3463
148	603	3446
149	605	3430
150	606	3411
151	608	3393
152	609	3376
153	611	3359
154	612	3341
155	614	3324
156	617	3317
157	619	3302
158	621	3285
159	622	3268
160	623	3250
161	625	3234
162	627	3219
163	628	3203
164	629	3187
165	633	3181
166	634	3166
167	636	3151
168	638	3139
169	640	3125
170	641	3110
171	643	3096
172	645	3083
173	646	3070
174	648	3058
175	650	3047
176	652	3035
177	654	3024
178	657	3015
179	659	3004
180	661	2992
181	663	2981
182	665	2970
183	667	2959
184	669	2947
185	670	2935
186	672	2925
187	675	2915
188	677	2905
189	679	2894
190	681	2884
191	682	2873
192	684	2862
193	686	2853
194	688	2843
195	690	2832
196	692	2821
197	694	2812
198	696	2802
199	698	2792
200	699	2782
201	701	2770
202	702	2759
203	704	2748
204	706	2740
205	708	2731
206	710	2721
207	712	2713
208	714	2703
209	716	2693
210	717	2683
211	719	2673
212	721	2664
213	722	2654
214	724	2645
215	726	2637
216	728	2630
217	731	2623
218	732	2613
219	734	2603
220	736	2594
221	737	2585
222	740	2578
223	742	2570
224	744	2564
225	746	2556
226	748	2547
227	750	2539
228	751	2530
229	753	2522
230	755	2514
231	757	2509
232	760	2503
233	762	2494
234	763	2486
235	766	2479
236	767	2472
237	769	2463
238	771	2458
239	774	2451
240	776	2444
241	778	2438
242	780	2430
243	781	2422
244	783	2414
245	785	2406
246	787	2401
247	789	2395
248	792	2389
249	794	2382
250	796	2375
251	797	2368
252	799	2360
253	801	2353
254	804	2349
255	806	2342
256	807	2334
257	809	2327
258	811	2320
259	812	2313
260	814	2305
261	815	2298
262	818	2293
263	820	2286
264	821	2278
265	823	2272
266	825	2266
267	827	2258
268	828	2251
269	830	2244
270	831	2237
271	834	2233
272	836	2227
273	837	2220
274	839	2213
275	841	2206
276	842	2200
277	844	2193
278	846	2186
279	848	2181
280	850	2177
281	853	2172
282	855	2166
283	857	2161
284	858	2154
285	860	2148
286	862	2141
287	864	2136
288	866	2131
289	867	2125
290	870	2120
291	872	2115
292	874	2109
293	876	2103
294	877	2097
295	880	2094
296	883	2090
297	884	2084
298	887	2079
299	888	2073
300	891	2069
301	893	2064
302	895	2058
303	897	2054
304	899	2049
305	901	2043
306	902	2038
307	905	2033
308	907	2030
309	909	2025
310	912	2021
311	914	2016
312	915	2010
313	917	2004
314	920	2001
315	922	1996
316	924	1991
317	926	1987
318	929	1983
319	931	1978
320	932	1972
321	934	1966
322	936	1961
323	938	1957
324	939	1951
325	941	1946
326	943	1942
327	945	1937
328	947	1933
329	950	1928
330	952	1924
331	954	1919
332	956	1915
333	958	1911
334	961	1908
335	963	1903
336	965	1899
337	966	1893
338	969	1890
339	971	1886
340	974	1883
341	976	1878
342	978	1874
343	980	1869
344	982	1864
345	983	1859
346	985	1854
347	987	1849
348	989	1844
349	990	1840
350	992	1835
351	994	1830
352	996	1825
353	997	1820
354	999	1815
355	1000	1810
356	1002	1805
357	1004	1801
358	1006	1797
359	1008	1792
360	1010	1788
361	1011	1783
362	1013	1778
363	1014	1773
364	1016	1768
365	1017	1763
366	1020	1759
367	1021	1755
368	1023	1750
369	1024	1745
370	1026	1740
371	1027	1735
372	1029	1730
373	1030	1725
374	1032	1720
375	1033	1715
376	1036	1712
377	1037	1707
378	1039	1702
379	1040	1697
380	1042	1693
381	1043	1688
382	1045	1683
383	1046	1678
384	1048	1674
385	1049	1669
386	1051	1665
387	1053	1662
388	1055	1658
389	1058	1655
390	1059	1650
391	1061	1645
392	1062	1641
393	1064	1636
394	1066	1633
395	1068	1629
396	1070	1625
397	1071	1621
398	1073	1616
399	1074	1611
400	1076	1607
401	1077	1603
402	1080	1599
403	1082	1596
404	1084	1592
405	1085	1588
406	1087	1584
407	1088	1579
408	1090	1575
409	1091	1570
410	1093	1566
411	1094	1562
412	1096	1558
413	1098	1554
414	1099	1550
415	1101	1546
416	1102	1541
417	1104	1537
418	1105	1533
419	1106	1528
420	1108	1524
421	1110	1520
422	1111	1516
423	1113	1512
424	1115	1509
425	1116	1504
426	1118	1500
427	1119	1496
428	1121	1492
429	1122	1488
430	1124	1484
431	1126	1480
432	1128	1477
433	1130	1474
434	1131	1470
435	1133	1466
436	1135	1462
437	1136	1458
438	1138	1454
439	1140	1451
440	1141	1447
441	1143	1443
442	1145	1440
443	1148	1437
444	1150	1435
